Case 
Basic				Time(seconds)
1992784				0.015
1997230				0.031
1998405				0.016
1989684				0.016
1995919				0.031
1998010				0.031
1997404				0.032
1998790				0.031
1998439				0.031
1997824				0.031
7984634				0.062
7996725				0.062
7994172				0.062
7990979				0.046
7992849				0.062
7995984				0.031
7988820				0.047
7990860				0.078
7993344				0.078
7994679				0.062
17995047				0.125
17992344				0.14
17994444				0.109
17989979				0.109
17986847				0.11
17995047				0.141
17990214				0.109
17980347				0.125
17987130				0.125
17979422				0.124
31983754				0.203
31981972				0.218
31990747				0.187
31991629				0.218
31968270				0.219
31990435				0.219
31988125				0.203
31983597				0.218
31990849				0.218
31991050				0.219
49986615				0.328
49986999				0.344
49983524				0.328
49986872				0.328
49973885				0.343
49951340				0.344
49964372				0.344
49973264				0.344
49987250				0.328
49974294				0.328
71970347				0.5
71909745				0.484
71970129				0.484
71942960				0.484
71985615				0.469
71985354				0.485
71987559				0.485
71978069				0.484
71966739				0.484
71961360				0.5
97959847				0.656
97916364				0.672
97969995				0.671
97917145				0.656
97978294				0.656
97946640				0.703
97973694				0.703
97975980				0.719
97979959				0.688
97982269				0.656
127971294				0.875
127946850				0.874
127969845				0.875
127976247				0.859
127976949				0.875
127971900				0.891
127972299				0.875
127974234				0.875
127965665				0.86
127972299				0.875
161957330				1.109
161975775				1.125
161938674				1.125
161902590				1.125
161950245				1.109
161962320				1.109
161961597				1.125
161960372				1.11
161954685				1.11
161949384				1.11
199936699				1.391
199934389				1.375
199967422				1.39
199957360				1.375
199948095				1.359
199928925				1.359
199949530				1.39
199962505				1.468
199953685				1.531
199963204				1.39
241931709				1.64
241959839				1.687
241944449				1.672
241915847				1.687
241911185				1.641
241942335				1.672
241949379				1.664
241956104				1.672
241956104				1.671
241870172				1.656
287947814				1.985
287854614				1.984
287925519				2
287957372				1.968
287952489				2.015
287921570				2
287956875				2.016
287857695				1.985
287915229				1.969
287894472				2
337899010				2.453
337896475				2.422
337947940				2.359
337937230				2.343
337934674				2.343
337900680				2.359
337942150				2.343
337934350				2.328
337944805				2.547
337947379				2.532
391944959				2.953
391936545				2.907
391890734				2.813
391914747				2.734
391951020				2.75
391846344				2.875
391940549				2.985
391940549				2.922
391944095				2.86
391930055				2.828
449902785				3.156
449951070				3.157
449926347				3.281
449878047				3.359
449908364				3.312
449921097				3.39
449894900				3.312
449889297				3.422
449933319				3.531
449932674				3.39
511925347				3.969
511909695				3.703
511899334				3.688
511909309				3.813
511896429				3.797
511785235				3.703
511881622				3.859
511911990				3.938
511908922				3.766
511927720				3.859
577796645				4.547
577892475				4.39
577894169				4.359
577852695				4.328
577899972				4.219
577909080				4.39
577760222				4.469
577892475				4.453
577876509				4.344
577861229				4.375
647892324				4.797
647900997				4.734
647883210				4.828
647827154				4.921
647863659				4.719
647907695				4.781
647831025				4.828
647914839				4.89
647916297				5.047
647846540				4.64
721884420				5.343
721881319				5.266
721909747				5.282
721906309				5.391
721895095				5.282
721790347				5.266
721893847				5.172
721891324				5.218
721902790				5.344
721830574				5.296
799879872				5.906
799906080				5.765
799862630				5.766
799848672				5.922
799816694				6.063
799893680				5.891
799879424				5.782
799650734				5.688
799889900				5.969
799838222				5.859
