Case 
Basic				Time(seconds)
1999000				0.01
1999000				0.039
1999000				0.04
1999000				0.014
1999000				0.011
1999000				0.031
1999000				0.023
1999000				0.039
1999000				0.024
1999000				0.035
7998000				0.067
7998000				0.079
7998000				0.071
7998000				0.091
7998000				0.068
7998000				0.062
7998000				0.076
7998000				0.067
7998000				0.082
7998000				0.072
17997000				0.144
17997000				0.144
17997000				0.149
17997000				0.128
17997000				0.149
17997000				0.138
17997000				0.138
17997000				0.148
17997000				0.152
17997000				0.121
31996000				0.237
31996000				0.232
31996000				0.224
31996000				0.231
31996000				0.222
31996000				0.24
31996000				0.243
31996000				0.23
31996000				0.256
31996000				0.232
49995000				0.346
49995000				0.366
49995000				0.338
49995000				0.372
49995000				0.362
49995000				0.347
49995000				0.351
49995000				0.375
49995000				0.355
49995000				0.354
71994000				0.505
71994000				0.5
71994000				0.509
71994000				0.505
71994000				0.513
71994000				0.519
71994000				0.541
71994000				0.507
71994000				0.478
71994000				0.48
97993000				0.683
97993000				0.71
97993000				0.693
97993000				0.694
97993000				0.679
97993000				0.695
97993000				0.692
97993000				0.69
97993000				0.683
97993000				0.674
127992000				0.903
127992000				0.896
127992000				0.887
127992000				0.906
127992000				0.888
127992000				0.903
127992000				0.9
127992000				0.9
127992000				0.891
127992000				0.903
161991000				1.146
161991000				1.15
161991000				1.156
161991000				1.15
161991000				1.141
161991000				1.153
161991000				1.12
161991000				1.139
161991000				1.145
161991000				1.138
199990000				1.529
199990000				1.494
199990000				1.386
199990000				1.407
199990000				1.416
199990000				1.394
199990000				1.402
199990000				1.428
199990000				1.417
199990000				1.432
241989000				1.7
241989000				1.715
241989000				1.731
241989000				1.731
241989000				1.72
241989000				1.722
241989000				1.718
241989000				1.715
241989000				1.738
241989000				1.719
287988000				2.068
287988000				2.045
287988000				2.057
287988000				2.035
287988000				2.048
287988000				2.093
287988000				2.106
287988000				2.038
287988000				2.089
287988000				2.041
337987000				2.388
337987000				2.406
337987000				2.418
337987000				2.417
337987000				2.417
337987000				2.402
337987000				2.424
337987000				2.42
337987000				2.575
337987000				2.521
391986000				2.987
391986000				3.276
391986000				3.014
391986000				3.008
391986000				2.953
391986000				2.889
391986000				2.806
391986000				2.829
391986000				2.84
391986000				2.926
449985000				3.338
449985000				3.304
449985000				3.366
449985000				3.365
449985000				3.391
449985000				3.432
449985000				3.258
449985000				3.222
449985000				3.26
449985000				3.333
511984000				3.959
511984000				3.826
511984000				3.772
511984000				3.845
511984000				3.838
511984000				3.8
511984000				3.802
511984000				3.831
511984000				4.012
511984000				3.9
577983000				4.354
577983000				4.299
577983000				4.358
577983000				4.519
577983000				4.454
577983000				4.445
577983000				4.481
577983000				4.298
577983000				4.252
577983000				4.263
647982000				4.88
647982000				4.815
647982000				4.798
647982000				4.96
647982000				5.19
647982000				4.93
647982000				4.835
647982000				4.923
647982000				4.903
647982000				4.911
721981000				5.439
721981000				5.382
721981000				5.433
721981000				5.48
721981000				5.509
721981000				5.707
721981000				5.41
721981000				5.553
721981000				5.471
721981000				5.492
799980000				6.07
799980000				5.997
799980000				6.072
799980000				6.093
799980000				6.194
799980000				6.18
799980000				5.96
799980000				5.835
799980000				5.85
799980000				5.839
